WHEAT,ORE,WOOD,BRICK,SHEEP,TOTAL,POINTS PER TURN
5,0,8,0,8,21,0.043478260869565216
5,4,6,0,5,20,0.0625
12,0,5,0,4,21,0.075
9,8,2,0,1,20,0.075
3,2,0,11,5,21,0.125
8,7,2,0,5,22,0.18867924528301888
3,0,2,8,8,21,0.09433962264150944
4,2,5,9,0,20,0.07547169811320754
0,2,5,4,9,20,0.03773584905660377
4,2,14,2,0,22,0.11764705882352941
0,0,16,4,0,20,0.03529411764705882
12,2,0,5,3,22,0.08235294117647059
5,0,8,0,10,23,0.03529411764705882
3,9,8,0,1,21,0.0759493670886076
8,0,8,3,2,21,0.10126582278481013
3,5,4,10,0,22,0.12658227848101267
0,14,4,0,3,21,0.06329113924050633
0,7,0,0,14,21,0.06349206349206349
8,7,0,5,0,20,0.06349206349206349
8,3,4,0,6,21,0.15873015873015872
0,0,6,13,2,21,0.07936507936507936
4,4,5,4,4,21,0.16393442622950818
4,3,10,3,0,20,0.04918032786885246
3,0,5,6,7,21,0.11475409836065574
3,0,5,3,9,20,0.08196721311475409
10,4,3,0,5,22,0.06097560975609756
6,4,2,5,5,22,0.12195121951219512
6,4,0,11,0,21,0.06097560975609756
0,3,6,5,9,23,0.07317073170731707
11,0,5,4,0,20,0.05434782608695652
3,4,10,0,3,20,0.07608695652173914
0,3,0,2,15,20,0.03260869565217391
8,7,2,2,0,19,0.10869565217391304
8,5,1,0,7,21,0.09183673469387756
4,0,2,12,3,21,0.10204081632653061
3,5,7,3,3,21,0.07142857142857142
5,8,4,5,0,22,0.061224489795918366
16,1,4,0,0,21,0.06896551724137931
4,3,3,2,9,21,0.06896551724137931
8,5,5,0,3,21,0.11494252873563218
0,0,2,15,5,22,0.04597701149425287
9,1,4,4,4,22,0.22448979591836735
4,0,6,0,11,21,0.061224489795918366
5,7,0,3,6,21,0.10204081632653061
2,0,10,7,3,22,0.061224489795918366
0,4,5,9,3,21,0.08333333333333333
8,8,5,0,0,21,0.1111111111111111
0,3,5,0,13,21,0.05555555555555555
4,4,3,5,5,21,0.1388888888888889
5,0,0,0,15,20,0.03496503496503497
0,8,5,8,0,21,0.03496503496503497
10,0,2,5,3,20,0.06993006993006994
5,4,7,0,3,19,0.04195804195804196
7,0,2,0,12,21,0.05747126436781609
3,0,7,3,8,21,0.08045977011494253
4,0,3,5,9,21,0.11494252873563218
1,5,4,7,5,22,0.09195402298850575
10,0,7,0,5,22,0.04395604395604396
4,5,3,0,8,20,0.04395604395604396
4,5,7,0,5,21,0.10989010989010989
0,4,8,0,11,23,0.08791208791208792
3,4,1,5,9,22,0.07575757575757576
4,4,4,5,5,22,0.15151515151515152
3,12,2,0,4,21,0.09090909090909091
0,3,0,9,11,23,0.030303030303030304
5,7,5,0,4,21,0.08849557522123894
5,0,9,2,5,21,0.07079646017699115
13,0,0,5,3,21,0.061946902654867256
5,0,9,3,4,21,0.07079646017699115
0,5,7,7,1,20,0.08333333333333333
0,0,6,11,4,21,0.03333333333333333
2,3,0,0,16,21,0.08333333333333333
6,3,4,5,3,21,0.16666666666666666
4,3,0,10,5,22,0.13725490196078433
2,2,13,0,3,20,0.058823529411764705
4,2,8,8,0,22,0.19607843137254902
4,3,4,3,9,23,0.0784313725490196
5,3,8,0,4,20,0.10714285714285714
1,5,4,10,0,20,0.047619047619047616
5,2,3,0,11,21,0.08333333333333333
7,3,0,7,4,21,0.11904761904761904
1,6,5,0,8,20,0.06306306306306306
0,0,0,5,16,21,0.05405405405405406
14,0,4,3,0,21,0.09009009009009009
0,0,12,5,5,22,0.07207207207207207
12,0,8,0,1,21,0.04672897196261682
4,3,8,2,4,21,0.04672897196261682
5,5,8,3,0,21,0.102803738317757
0,2,5,7,8,22,0.056074766355140186
4,0,4,6,7,21,0.08333333333333333
5,7,0,1,7,20,0.07407407407407407
8,3,6,0,4,21,0.046296296296296294
8,6,7,0,0,21,0.09259259259259259
7,0,10,2,3,22,0.11764705882352941
4,0,10,6,0,20,0.047058823529411764
4,7,5,2,3,21,0.09411764705882353
7,5,8,0,3,23,0.10588235294117647
0,7,5,0,8,20,0.04411764705882353
6,5,0,0,10,21,0.08823529411764706
3,5,8,0,4,20,0.08823529411764706
3,5,0,10,3,21,0.14705882352941177
9,0,0,4,9,22,0.060240963855421686
6,0,5,0,10,21,0.08433734939759036
8,6,0,5,2,21,0.12048192771084337
2,6,7,5,0,20,0.07228915662650602
11,0,3,6,0,20,0.09090909090909091
4,5,7,1,4,21,0.07954545454545454
2,0,11,0,7,20,0.03409090909090909
11,8,0,0,2,21,0.11363636363636363
4,0,2,0,15,21,0.05
0,4,0,6,10,20,0.03333333333333333
10,5,2,5,0,22,0.11666666666666667
3,5,3,4,8,23,0.16666666666666666
6,3,5,4,4,22,0.17543859649122806
7,0,3,11,0,21,0.03508771929824561
2,3,7,0,9,21,0.12280701754385964
14,2,6,0,0,22,0.08771929824561403
10,3,8,0,0,21,0.11235955056179775
2,0,0,8,10,20,0.0449438202247191
0,6,7,3,5,21,0.056179775280898875
0,2,5,4,10,21,0.0898876404494382
8,8,6,0,0,22,0.05660377358490566
5,4,9,0,3,21,0.09433962264150944
14,0,1,3,3,21,0.08490566037735849
3,9,0,4,5,21,0.07547169811320754
0,0,18,3,0,21,0.06666666666666667
4,5,0,3,8,20,0.06666666666666667
2,7,4,3,5,21,0.13333333333333333
8,3,5,0,5,21,0.09333333333333334
0,8,4,0,9,21,0.04310344827586207
7,0,3,10,0,20,0.04310344827586207
6,0,6,0,8,20,0.0603448275862069
8,3,3,5,1,20,0.08620689655172414
11,3,4,4,0,22,0.20754716981132076
2,0,5,8,6,21,0.07547169811320754
12,5,4,0,0,21,0.11320754716981132
0,0,14,0,8,22,0.05660377358490566
4,10,0,0,7,21,0.08
0,0,4,4,12,20,0.04
5,4,7,0,5,21,0.04
5,0,0,11,5,21,0.064
8,3,0,5,5,21,0.0625
4,0,7,4,5,20,0.0625
0,4,7,5,5,21,0.1
5,2,3,3,7,20,0.125
8,5,4,0,3,20,0.10752688172043011
5,0,9,3,4,21,0.07526881720430108
4,5,2,10,0,21,0.0967741935483871
12,5,0,0,4,21,0.06451612903225806
18,0,0,2,1,21,0.10909090909090909
9,3,4,0,5,21,0.07272727272727272
5,7,1,0,8,21,0.2
0,4,2,7,8,21,0.05454545454545454
7,13,0,0,1,21,0.10752688172043011
0,7,7,0,7,21,0.043010752688172046
9,3,0,10,0,22,0.07526881720430108
4,5,6,0,7,22,0.07526881720430108
4,5,9,3,0,21,0.06818181818181818
0,5,4,6,5,20,0.056818181818181816
3,0,9,0,10,22,0.056818181818181816
7,0,9,3,4,23,0.125
2,4,3,1,10,20,0.10752688172043011
9,2,3,3,4,21,0.0967741935483871
1,0,8,3,8,20,0.06451612903225806
4,7,0,2,8,21,0.08602150537634409
3,10,0,8,0,21,0.049019607843137254
2,7,0,7,5,21,0.09803921568627451
5,3,9,0,4,21,0.08823529411764706
2,3,13,0,3,21,0.06862745098039216
0,3,9,5,5,22,0.040697674418604654
0,6,0,9,5,20,0.029069767441860465
3,0,6,0,12,21,0.046511627906976744
15,0,3,0,5,23,0.05813953488372093
1,3,12,5,0,21,0.09090909090909091
0,3,0,14,3,20,0.022727272727272728
6,0,8,0,6,20,0.03409090909090909
4,8,2,4,3,21,0.11363636363636363
5,5,2,8,3,23,0.18867924528301888
0,8,2,8,4,22,0.03773584905660377
0,10,7,0,4,21,0.07547169811320754
2,8,0,5,6,21,0.09433962264150944
8,0,5,3,5,21,0.09375
0,3,2,8,7,20,0.03125
0,8,5,0,7,20,0.0625
9,4,0,4,3,20,0.15625
3,0,5,1,12,21,0.08181818181818182
0,2,7,5,7,21,0.09090909090909091
3,2,8,5,3,21,0.06363636363636363
13,4,0,5,0,22,0.08181818181818182
4,11,2,4,0,21,0.07936507936507936
9,0,2,0,10,21,0.09523809523809523
5,0,8,4,4,21,0.15873015873015872
0,5,7,5,4,21,0.047619047619047616
8,5,0,4,5,22,0.16393442622950818
9,11,0,0,0,20,0.09836065573770492
0,5,7,4,5,21,0.06557377049180328
0,8,3,0,12,23,0.03278688524590164
9,0,4,4,5,22,0.09174311926605505
5,0,0,8,9,22,0.08256880733944955
6,0,9,6,0,21,0.08256880733944955
8,7,3,0,5,23,0.06422018348623854
3,5,4,0,8,20,0.1111111111111111
0,9,4,4,4,21,0.05555555555555555
3,5,8,4,0,20,0.08333333333333333
6,2,0,8,5,21,0.1388888888888889
2,0,3,10,5,20,0.06329113924050633
0,8,8,5,0,21,0.0759493670886076
0,4,7,5,4,20,0.12658227848101267
11,0,3,5,2,21,0.06329113924050633
5,5,0,3,8,21,0.08620689655172414
13,2,0,3,2,20,0.1724137931034483
0,2,11,0,7,20,0.05172413793103448
9,0,8,3,0,20,0.05172413793103448
2,7,0,6,5,20,0.06140350877192982
3,0,3,6,9,21,0.08771929824561403
5,4,12,0,0,21,0.07017543859649122
3,7,0,2,10,22,0.05263157894736842
8,0,9,4,0,21,0.05128205128205128
7,3,5,4,2,21,0.1282051282051282
10,11,0,0,0,21,0.10256410256410256
4,3,1,8,5,21,0.10256410256410256
7,2,4,5,4,22,0.15384615384615385
7,2,3,0,9,21,0.046153846153846156
3,3,0,6,9,21,0.1076923076923077
3,4,5,0,9,21,0.09230769230769231
0,4,5,5,7,21,0.05
5,0,12,3,0,20,0.075
0,12,4,5,0,21,0.075
5,3,9,2,2,21,0.125
6,1,10,0,4,21,0.10309278350515463
7,0,0,0,13,20,0.020618556701030927
0,9,7,2,3,21,0.061855670103092786
0,4,8,6,1,19,0.061855670103092786
2,0,12,4,4,22,0.09859154929577464
0,6,5,0,9,20,0.04225352112676056
5,10,3,4,0,22,0.14084507042253522
4,6,5,8,0,23,0.08450704225352113
4,2,0,3,14,23,0.1134020618556701
4,5,10,3,0,22,0.07216494845360824
5,2,0,4,10,21,0.09278350515463918
0,2,5,6,7,20,0.041237113402061855
0,0,5,5,11,21,0.08333333333333333
3,4,2,0,12,21,0.08333333333333333
7,0,5,9,0,21,0.05555555555555555
3,7,7,5,0,22,0.1388888888888889
12,0,4,0,4,20,0.057692307692307696
9,0,6,6,0,21,0.07692307692307693
2,5,4,11,0,22,0.09615384615384616
9,5,5,0,3,22,0.19230769230769232
3,4,13,0,0,20,0.0392156862745098
16,2,3,0,0,21,0.09803921568627451
4,4,3,9,1,21,0.0784313725490196
0,2,3,4,14,23,0.0784313725490196
0,4,4,10,2,20,0.05102040816326531
8,3,4,1,5,21,0.10204081632653061
6,5,3,6,0,20,0.05102040816326531
11,0,2,5,3,21,0.08163265306122448
5,4,4,7,2,22,0.11267605633802817
0,5,10,4,2,21,0.056338028169014086
9,5,3,1,3,21,0.14084507042253522
4,0,9,3,5,21,0.09859154929577464
6,6,0,5,4,21,0.15384615384615385
4,11,3,0,3,21,0.12307692307692308
2,4,5,8,2,21,0.07692307692307693
5,5,10,0,0,20,0.07692307692307693
7,0,4,5,5,21,0.08849557522123894
2,0,0,11,8,21,0.061946902654867256
2,0,11,0,8,21,0.05309734513274336
1,5,11,4,0,21,0.07079646017699115
13,5,0,5,0,23,0.136986301369863
4,2,9,5,2,22,0.0958904109589041
0,5,7,5,4,21,0.0547945205479452
3,3,13,0,2,21,0.0684931506849315
10,0,4,6,1,21,0.09302325581395349
3,0,4,0,13,20,0.046511627906976744
10,6,2,0,3,21,0.23255813953488372
6,11,4,0,0,21,0.09302325581395349
5,3,9,0,4,21,0.10714285714285714
5,0,5,5,6,21,0.08333333333333333
13,0,0,6,2,21,0.047619047619047616
9,0,9,3,0,21,0.13095238095238096
0,5,10,4,3,22,0.06976744186046512
3,6,5,8,0,22,0.11627906976744186
2,12,0,0,7,21,0.05813953488372093
3,0,11,9,0,23,0.06976744186046512
3,5,4,4,5,21,0.13333333333333333
0,0,7,0,13,20,0.03333333333333333
6,2,0,7,5,20,0.05
5,5,4,4,3,21,0.16666666666666666
10,0,4,0,6,20,0.0660377358490566
5,0,6,4,6,21,0.10377358490566038
5,2,3,11,0,21,0.08490566037735849
5,2,3,3,8,21,0.03773584905660377
0,1,0,14,6,21,0.034482758620689655
10,3,0,7,0,20,0.06896551724137931
6,5,0,8,2,21,0.11494252873563218
11,0,10,0,0,21,0.034482758620689655
5,2,3,8,5,23,0.10891089108910891
0,4,0,9,9,22,0.039603960396039604
0,6,6,4,5,21,0.039603960396039604
5,0,6,5,5,21,0.06930693069306931
9,5,3,0,3,20,0.06976744186046512
2,4,5,5,5,21,0.11627906976744186
9,0,2,8,2,21,0.046511627906976744
1,4,7,4,5,21,0.046511627906976744
5,0,8,4,3,20,0.07462686567164178
9,0,0,1,10,20,0.05970149253731343
13,7,0,0,0,20,0.14925373134328357
4,10,7,0,0,21,0.1044776119402985
3,0,5,7,5,20,0.07692307692307693
0,9,5,4,2,20,0.02197802197802198
9,0,6,0,6,21,0.10989010989010989
2,4,7,0,8,21,0.08791208791208792
0,5,0,9,8,22,0.02197802197802198
0,9,6,5,0,20,0.054945054945054944
10,7,0,4,0,21,0.12087912087912088
11,0,4,0,8,23,0.04395604395604396
5,4,3,0,8,20,0.08955223880597014
9,0,8,0,3,20,0.04477611940298507
4,6,6,5,0,21,0.14925373134328357
7,4,5,5,0,21,0.08955223880597014
5,9,0,0,8,22,0.09183673469387756
6,9,0,6,0,21,0.10204081632653061
4,5,7,3,2,21,0.04081632653061224
2,0,3,3,14,22,0.09183673469387756
5,2,9,4,0,20,0.08536585365853659
6,0,8,7,0,21,0.12195121951219512
3,5,11,0,2,21,0.0975609756097561
5,0,0,3,15,23,0.07317073170731707
6,7,4,4,0,21,0.12345679012345678
9,8,4,0,0,21,0.06172839506172839
4,0,9,4,4,21,0.09876543209876543
5,0,7,9,0,21,0.08641975308641975
3,0,3,5,9,20,0.0375
13,4,2,1,0,20,0.0625
0,0,8,5,8,21,0.1
10,5,0,2,4,21,0.125
4,0,5,5,7,21,0.07042253521126761
4,2,7,5,3,21,0.07042253521126761
3,2,8,5,3,21,0.14084507042253522
4,5,4,0,8,21,0.08450704225352113
5,3,0,0,14,22,0.10843373493975904
11,0,0,4,5,20,0.060240963855421686
5,0,5,2,9,21,0.12048192771084337
0,3,15,5,0,23,0.04819277108433735
7,0,4,0,9,20,0.03488372093023256
5,0,8,6,2,21,0.11627906976744186
11,0,5,6,0,22,0.06976744186046512
0,3,9,0,10,22,0.08139534883720931
2,3,11,0,4,20,0.06481481481481481
9,6,0,6,0,21,0.05555555555555555
4,6,4,0,6,20,0.08333333333333333
3,0,7,11,0,21,0.09259259259259259
4,5,4,0,9,22,0.09523809523809523
6,5,0,2,8,21,0.2619047619047619
5,10,0,0,6,21,0.07142857142857142
7,0,12,3,0,22,0.11904761904761904
9,5,5,0,1,20,0.08695652173913043
0,3,8,2,8,21,0.06521739130434782
4,0,9,3,4,20,0.07608695652173914
7,5,6,0,3,21,0.10869565217391304
5,0,5,10,0,20,0.12345679012345678
2,4,3,10,1,20,0.07407407407407407
9,3,8,0,0,20,0.07407407407407407
4,3,0,7,7,21,0.037037037037037035
4,10,7,0,0,21,0.056338028169014086
5,3,2,1,9,20,0.056338028169014086
5,3,4,5,4,21,0.14084507042253522
7,0,5,5,4,21,0.09859154929577464
0,10,7,0,3,20,0.09210526315789473
8,0,8,5,0,21,0.07894736842105263
8,1,4,3,5,21,0.07894736842105263
15,4,0,2,0,21,0.13157894736842105
3,10,0,4,5,22,0.049019607843137254
5,4,4,0,9,22,0.09803921568627451
0,4,8,9,0,21,0.06862745098039216
8,0,4,0,11,23,0.058823529411764705
0,4,4,9,3,20,0.024096385542168676
4,6,5,5,0,20,0.08433734939759036
2,0,8,3,7,20,0.12048192771084337
4,3,9,3,0,19,0.060240963855421686
4,5,0,5,7,21,0.04395604395604396
4,3,0,5,8,20,0.0989010989010989
7,3,2,10,0,22,0.10989010989010989
8,8,4,0,3,23,0.06593406593406594
9,0,9,3,0,21,0.07142857142857142
2,9,5,2,3,21,0.05952380952380952
2,4,6,0,9,21,0.09523809523809523
9,4,0,0,8,21,0.11904761904761904
3,4,5,0,8,20,0.08547008547008547
2,4,7,0,7,20,0.07692307692307693
7,4,0,3,6,20,0.07692307692307693
0,0,6,12,2,20,0.07692307692307693
5,6,4,0,5,20,0.15384615384615385
4,0,11,0,6,21,0.06153846153846154
8,5,0,3,5,21,0.09230769230769231
0,4,4,5,10,23,0.09230769230769231
5,3,5,7,0,20,0.10752688172043011
11,3,4,0,2,20,0.0967741935483871
8,0,8,4,0,20,0.0967741935483871
3,0,4,5,9,21,0.053763440860215055
10,8,2,1,0,21,0.10810810810810811
5,4,5,4,3,21,0.13513513513513514
2,4,3,0,13,22,0.08108108108108109
10,4,5,0,3,22,0.05405405405405406
7,0,5,0,9,21,0.05825242718446602
0,6,2,5,7,20,0.02912621359223301
7,0,2,9,3,21,0.0970873786407767
8,2,2,5,4,21,0.06796116504854369
3,3,4,7,3,20,0.12345679012345678
5,13,0,2,0,20,0.04938271604938271
0,4,5,0,12,21,0.06172839506172839
0,5,6,5,5,21,0.07407407407407407
0,5,8,4,4,21,0.136986301369863
5,9,5,0,2,21,0.0547945205479452
8,2,0,8,3,21,0.1095890410958904
1,4,5,4,7,21,0.0821917808219178
6,3,9,0,3,21,0.09090909090909091
8,5,0,0,8,21,0.09090909090909091
4,0,4,7,5,20,0.18181818181818182
5,6,8,0,0,19,0.05454545454545454
9,0,8,0,4,21,0.022222222222222223
8,2,5,4,2,21,0.12222222222222222
11,0,3,0,7,21,0.044444444444444446
4,0,3,10,4,21,0.1
6,7,8,0,0,21,0.12987012987012986
3,4,9,4,0,20,0.06493506493506493
8,0,7,5,0,20,0.06493506493506493
3,7,0,4,6,20,0.05194805194805195
4,0,9,0,8,21,0.06329113924050633
4,5,7,2,3,21,0.10126582278481013
5,2,12,2,0,21,0.12658227848101267
4,0,5,5,8,22,0.08860759493670886
9,0,4,5,2,20,0.09090909090909091
1,4,12,4,0,21,0.09090909090909091
8,4,3,2,4,21,0.18181818181818182
0,5,8,2,6,21,0.09090909090909091
3,0,0,0,18,21,0.05
7,0,3,2,9,21,0.07
0,6,6,10,0,22,0.03
3,4,3,2,10,22,0.12
4,3,10,0,5,22,0.05747126436781609
4,0,7,4,7,22,0.08045977011494253
8,3,0,8,2,21,0.11494252873563218
0,3,9,3,8,23,0.06896551724137931
5,7,0,0,11,23,0.12987012987012986
2,7,5,4,4,22,0.03896103896103896
0,6,9,0,6,21,0.03896103896103896
0,2,11,3,4,20,0.07792207792207792
13,2,5,3,0,23,0.10752688172043011
5,6,5,0,6,22,0.0967741935483871
5,6,3,7,0,21,0.06451612903225806
7,0,11,3,0,21,0.07526881720430108
5,0,1,8,7,21,0.08
7,0,3,6,5,21,0.05
7,7,5,0,3,22,0.08
9,3,3,2,5,22,0.11
0,7,2,0,12,21,0.07352941176470588
4,0,5,3,9,21,0.07352941176470588
4,4,2,8,3,21,0.058823529411764705
9,7,2,5,0,23,0.14705882352941177
5,0,5,7,4,21,0.09375
4,0,11,5,0,20,0.09375
0,3,5,0,14,22,0.046875
5,6,0,4,8,23,0.15625
6,5,3,3,5,22,0.07228915662650602
2,10,5,0,4,21,0.07228915662650602
4,5,2,9,0,20,0.13253012048192772
9,0,4,0,7,20,0.07228915662650602
14,0,0,3,5,22,0.04225352112676056
9,0,3,5,3,20,0.056338028169014086
9,2,3,0,7,21,0.14084507042253522
4,0,7,0,12,23,0.056338028169014086
0,5,5,4,9,23,0.022727272727272728
10,3,5,0,4,22,0.09090909090909091
0,4,15,0,2,21,0.045454545454545456
5,3,0,4,8,20,0.11363636363636363
4,0,5,4,7,20,0.08695652173913043
4,8,7,0,2,21,0.09782608695652174
10,7,0,0,4,21,0.08695652173913043
3,9,3,0,7,22,0.10869565217391304
6,0,9,0,7,22,0.10666666666666667
13,0,5,0,3,21,0.05333333333333334
7,4,5,2,3,21,0.14666666666666667
0,0,5,5,12,22,0.09333333333333334
5,6,4,5,0,20,0.12345679012345678
5,3,0,0,13,21,0.1111111111111111
4,2,0,10,4,20,0.07407407407407407
2,3,6,4,4,19,0.06172839506172839
9,0,7,5,0,21,0.10714285714285714
9,3,0,7,2,21,0.07142857142857142
3,3,8,2,5,21,0.05357142857142857
8,9,4,0,0,21,0.17857142857142858
5,0,8,4,3,20,0.08064516129032258
5,6,2,5,3,21,0.1774193548387097
3,0,7,11,0,21,0.04838709677419355
9,4,4,0,4,21,0.11290322580645161
5,4,0,0,12,21,0.06896551724137931
7,0,3,2,9,21,0.08045977011494253
2,5,3,3,8,21,0.11494252873563218
13,0,1,3,4,21,0.034482758620689655
5,0,10,2,4,21,0.07228915662650602
4,0,3,3,10,20,0.04819277108433735
2,0,10,5,4,21,0.12048192771084337
2,10,0,0,9,21,0.10843373493975904
0,10,9,2,0,21,0.041666666666666664
0,5,15,0,0,20,0.05555555555555555
11,0,4,5,2,22,0.125
7,8,0,5,3,23,0.1388888888888889
11,3,0,5,2,21,0.0975609756097561
7,5,6,0,2,20,0.14634146341463414
3,4,4,0,9,20,0.08536585365853659
5,3,6,6,0,20,0.07317073170731707
0,2,12,4,3,21,0.075
11,2,0,0,8,21,0.0625
5,0,8,8,0,21,0.0875
4,5,5,4,4,22,0.125
0,7,4,4,5,20,0.05405405405405406
6,3,3,4,5,21,0.13513513513513514
0,5,8,5,4,22,0.05405405405405406
6,5,0,8,3,22,0.06756756756756757
11,4,4,0,3,22,0.1643835616438356
16,0,0,2,3,21,0.0547945205479452
6,0,4,5,6,21,0.0958904109589041
5,0,9,0,8,22,0.0410958904109589
4,2,8,3,4,21,0.136986301369863
6,11,0,0,3,20,0.1232876712328767
0,5,0,7,9,21,0.0273972602739726
0,9,7,3,2,21,0.0547945205479452
0,8,5,5,3,21,0.0625
3,6,3,0,9,21,0.0625
6,5,3,5,3,22,0.08035714285714286
7,2,0,8,5,22,0.08928571428571429
5,8,2,4,3,22,0.136986301369863
8,0,2,4,7,21,0.0684931506849315
0,4,8,4,5,21,0.0958904109589041
2,0,8,4,8,22,0.1095890410958904
0,4,9,3,5,21,0.037037037037037035
7,3,0,0,10,20,0.05925925925925926
2,3,9,2,5,21,0.08148148148148149
9,3,0,0,9,21,0.05925925925925926
8,4,0,9,0,21,0.1
0,3,7,11,0,21,0.1111111111111111
0,10,4,3,5,22,0.044444444444444446
1,0,16,0,4,21,0.05555555555555555
0,4,3,10,3,20,0.05
0,2,11,3,5,21,0.05
4,4,5,3,5,21,0.09
14,2,3,4,0,23,0.1
8,0,3,4,6,21,0.07142857142857142
4,3,0,7,7,21,0.05357142857142857
3,5,8,0,5,21,0.03571428571428571
5,10,0,0,7,22,0.08928571428571429
9,0,3,0,9,21,0.07936507936507936
3,3,4,0,10,20,0.07936507936507936
9,0,6,2,3,20,0.15873015873015872
7,0,7,5,1,20,0.07936507936507936
7,10,0,5,0,22,0.11235955056179775
0,8,0,7,7,22,0.02247191011235955
3,4,4,5,5,21,0.06741573033707865
5,0,8,0,8,21,0.10112359550561797
9,0,0,10,3,22,0.07575757575757576
5,2,10,5,0,22,0.18181818181818182
5,0,6,0,10,21,0.09090909090909091
1,5,3,5,6,20,0.045454545454545456
5,2,13,1,0,21,0.08108108108108109
3,0,9,2,7,21,0.14864864864864866
7,0,5,2,8,22,0.06756756756756757
5,3,5,2,7,22,0.0945945945945946
4,0,5,4,8,21,0.06756756756756757
4,3,0,5,8,20,0.13513513513513514
2,3,4,0,10,19,0.0945945945945946
5,5,4,4,3,21,0.08108108108108109
5,9,2,0,5,21,0.17543859649122806
7,9,0,3,2,21,0.12280701754385964
5,0,5,7,5,22,0.12280701754385964
0,5,0,7,10,22,0.03508771929824561
5,6,0,9,0,20,0.032520325203252036
0,10,5,3,3,21,0.04878048780487805
10,2,4,0,4,20,0.08130081300813008
6,0,2,3,8,19,0.04878048780487805
5,8,7,2,0,22,0.1111111111111111
15,5,0,0,0,20,0.09523809523809523
5,5,4,0,7,21,0.15873015873015872
5,3,4,0,11,23,0.047619047619047616
5,4,6,2,4,21,0.08333333333333333
0,4,2,8,7,21,0.041666666666666664
8,2,0,2,9,21,0.09375
3,2,0,10,5,20,0.10416666666666667
0,13,4,3,1,21,0.05063291139240506
10,0,3,4,3,20,0.10126582278481013
0,5,6,7,2,20,0.12658227848101267
5,3,7,4,1,20,0.0759493670886076
14,0,3,4,2,23,0.057692307692307696
9,0,2,9,2,22,0.057692307692307696
5,0,3,4,9,21,0.057692307692307696
3,5,5,5,3,21,0.19230769230769232
0,5,4,5,8,22,0.05
0,10,7,3,0,20,0.0625
2,0,2,9,8,21,0.0625
4,0,7,7,5,23,0.1375
0,0,15,7,0,22,0.0641025641025641
12,5,3,0,2,22,0.1282051282051282
6,0,10,3,2,21,0.0641025641025641
0,5,3,7,8,23,0.02564102564102564
0,12,4,5,0,21,0.04081632653061224
0,3,11,4,3,21,0.10204081632653061
7,0,2,9,3,21,0.07142857142857142
4,5,0,8,5,22,0.08163265306122448
5,0,3,8,4,20,0.09183673469387756
5,0,5,3,8,21,0.10204081632653061
2,5,0,3,11,21,0.061224489795918366
2,8,10,0,3,23,0.08163265306122448
6,7,0,4,4,21,0.10752688172043011
0,2,10,9,0,21,0.043010752688172046
0,0,9,7,5,21,0.043010752688172046
5,0,9,0,7,21,0.08602150537634409
8,0,13,1,0,22,0.06779661016949153
10,0,4,0,7,21,0.03389830508474576
3,0,9,4,5,21,0.1694915254237288
7,2,3,0,10,22,0.1016949152542373
3,0,9,5,4,21,0.08411214953271028
3,0,8,0,9,20,0.056074766355140186
5,0,9,7,0,21,0.102803738317757
0,7,8,2,4,21,0.037383177570093455
3,0,8,4,7,22,0.07777777777777778
6,0,4,4,7,21,0.12222222222222222
4,3,4,0,10,21,0.06666666666666667
3,5,4,4,5,21,0.06666666666666667
2,4,9,3,4,22,0.12345679012345678
5,0,4,3,9,21,0.1111111111111111
2,0,5,11,3,21,0.06172839506172839
2,5,8,0,7,22,0.04938271604938271
0,5,7,4,5,21,0.05128205128205128
2,3,3,4,9,21,0.1282051282051282
2,8,0,8,3,21,0.0641025641025641
2,5,5,4,7,23,0.07692307692307693
4,0,12,5,0,21,0.1
4,5,5,5,2,21,0.14285714285714285
3,5,5,0,8,21,0.08571428571428572
11,5,0,0,5,21,0.04285714285714286
6,3,8,0,5,22,0.1125
11,0,2,0,8,21,0.05
6,0,4,5,6,21,0.075
5,3,5,6,3,22,0.125
4,0,13,0,3,20,0.04395604395604396
3,0,5,0,12,20,0.03296703296703297
7,6,5,0,3,21,0.13186813186813187
5,9,2,0,5,21,0.07692307692307693
12,4,4,0,1,21,0.08264462809917356
0,2,14,5,0,21,0.06611570247933884
9,0,6,5,2,22,0.04132231404958678
0,7,10,0,4,21,0.06611570247933884
14,0,2,2,4,22,0.09859154929577464
11,3,7,0,0,21,0.056338028169014086
6,5,4,7,0,22,0.14084507042253522
6,0,13,2,0,21,0.08450704225352113
0,4,13,5,0,22,0.06164383561643835
0,4,4,7,7,22,0.0684931506849315
0,4,7,5,5,21,0.0547945205479452
7,0,5,0,8,20,0.0273972602739726
15,2,0,4,2,23,0.09615384615384616
4,4,3,9,2,22,0.09615384615384616
5,4,3,3,6,21,0.057692307692307696
5,3,3,8,2,21,0.19230769230769232
8,4,0,0,10,22,0.08547008547008547
5,11,4,0,2,22,0.05982905982905983
13,0,0,6,2,21,0.05982905982905983
5,7,8,3,0,23,0.042735042735042736
0,4,1,14,2,21,0.019230769230769232
2,8,0,9,2,21,0.04807692307692308
0,0,8,7,6,21,0.0673076923076923
7,5,8,0,0,20,0.09615384615384616
8,0,7,6,0,21,0.0847457627118644
6,8,0,0,7,21,0.0847457627118644
5,3,5,4,5,22,0.1864406779661017
2,5,3,9,3,22,0.05084745762711865
4,0,11,0,5,20,0.08163265306122448
